x,t,u
-0.8,0.13333333333333333,0.45884588
-0.8,0.16666666666666666,0.42399523
-0.8,0.2,0.3891674
-0.8,0.23333333333333334,0.35434273
-0.8,0.26666666666666666,0.31951803
-0.8,0.3,0.2846934
-0.8,0.3333333333333333,0.24986836
-0.8,0.36666666666666664,0.20764068
-0.8,0.4,0.13961214
-0.8,0.43333333333333335,0.0795295
-0.8,0.4666666666666667,0.048670553
-0.8,0.5,0.02530972
-0.8,0.5333333333333333,-0.0039835945
-0.8,0.5666666666666667,-0.030291744
-0.8,0.6,-0.05307726
-0.8,0.6333333333333333,-0.07588709
-0.8,0.6666666666666666,-0.09871184
-0.8,0.7,-0.12062342
-0.8,0.7333333333333333,-0.13854131
-0.8,0.7666666666666666,-0.1549755
-0.8,0.8,-0.15963644
-0.8,0.8333333333333334,-0.16403258
-0.8,0.8666666666666667,-0.16842884
-0.8,0.9,-0.1774922
-0.8,0.9333333333333333,-0.18696097
-0.8,0.9666666666666667,-0.19614068
-0.8,1.0,-0.20424166
-0.7333333333333334,0.0,0.73347497
-0.7333333333333334,0.03333333333333333,0.7204839
-0.7333333333333334,0.06666666666666667,0.7044411
-0.7333333333333334,0.1,0.68696815
-0.7333333333333334,0.13333333333333333,0.65383637
-0.7333333333333334,0.16666666666666666,0.6189855
-0.7333333333333334,0.2,0.58413464
-0.7333333333333334,0.23333333333333334,0.5492838
-0.7333333333333334,0.26666666666666666,0.5144329
-0.7333333333333334,0.3,0.47966045
-0.7333333333333334,0.3333333333333333,0.4230896
-0.7333333333333334,0.36666666666666664,0.34727147
-0.7333333333333334,0.4,0.25565436
-0.7333333333333334,0.43333333333333335,0.15472633
-0.7333333333333334,0.4666666666666667,0.091641
-0.7333333333333334,0.5,0.053923555
-0.7333333333333334,0.5333333333333333,0.022233047
-0.7333333333333334,0.5666666666666667,-0.0046808347
-0.7333333333333334,0.6,-0.028817616
-0.7333333333333334,0.6333333333333333,-0.052373074
-0.7333333333333334,0.6666666666666666,-0.07592849
-0.7333333333333334,0.7,-0.09953401
-0.7333333333333334,0.7333333333333333,-0.11834366
-0.7333333333333334,0.7666666666666666,-0.13658267
-0.7333333333333334,0.8,-0.14179736
-0.7333333333333334,0.8333333333333334,-0.1490182
-0.7333333333333334,0.8666666666666667,-0.15866399
-0.7333333333333334,0.9,-0.16701916
-0.7333333333333334,0.9333333333333333,-0.17471784
-0.7333333333333334,0.9666666666666667,-0.18231586
-0.7333333333333334,1.0,-0.189899
-0.6666666666666667,0.0,0.85946935
-0.6666666666666667,0.03333333333333333,0.85068333
-0.6666666666666667,0.06666666666666667,0.8365663
-0.6666666666666667,0.1,0.8198374
-0.6666666666666667,0.13333333333333333,0.8024856
-0.6666666666666667,0.16666666666666666,0.7850553
-0.6666666666666667,0.2,0.7676251
-0.6666666666666667,0.23333333333333334,0.7452508
-0.6666666666666667,0.26666666666666666,0.7126562
-0.6666666666666667,0.3,0.65487933
-0.6666666666666667,0.3333333333333333,0.56196964
-0.6666666666666667,0.36666666666666664,0.4610357
-0.6666666666666667,0.4,0.36010182
-0.6666666666666667,0.43333333333333335,0.2591677
-0.6666666666666667,0.4666666666666667,0.1582337
-0.6666666666666667,0.5,0.097300686
-0.6666666666666667,0.5333333333333333,0.05674175
-0.6666666666666667,0.5666666666666667,0.027591534
-0.6666666666666667,0.6,0.0032133982
-0.6666666666666667,0.6333333333333333,-0.021164812
-0.6666666666666667,0.6666666666666666,-0.04724201
-0.6666666666666667,0.7,-0.07498724
-0.6666666666666667,0.7333333333333333,-0.09649939
-0.6666666666666667,0.7666666666666666,-0.11526931
-0.6666666666666667,0.8,-0.1288018
-0.6666666666666667,0.8333333333333334,-0.13618913
-0.6666666666666667,0.8666666666666667,-0.14357647
-0.6666666666666667,0.9,-0.15096381
-0.6666666666666667,0.9333333333333333,-0.1584329
-0.6666666666666667,0.9666666666666667,-0.16592997
-0.6666666666666667,1.0,-0.1734271
-0.6,0.0,0.9533954
-0.6,0.03333333333333333,0.953695
-0.6,0.06666666666666667,0.94443476
-0.6,0.1,0.9313524
-0.6,0.13333333333333333,0.9182773
-0.6,0.16666666666666666,0.90507126
-0.6,0.2,0.8832016
-0.6,0.23333333333333334,0.8513073
-0.6,0.26666666666666666,0.8154183
-0.6,0.3,0.762798
-0.6,0.3333333333333333,0.6665535
-0.6,0.36666666666666664,0.5656197
-0.6,0.4,0.46468574
-0.6,0.43333333333333335,0.36375168
-0.6,0.4666666666666667,0.26281783
-0.6,0.5,0.16041121
-0.6,0.5333333333333333,0.10202756
-0.6,0.5666666666666667,0.060738496
-0.6,0.6,0.030506589
-0.6,0.6333333333333333,0.003247805
-0.6,0.6666666666666666,-0.024497502
-0.6,0.7,-0.05212211
-0.6,0.7333333333333333,-0.06825691
-0.6,0.7666666666666666,-0.08663537
-0.6,0.8,-0.10574248
-0.6,0.8333333333333334,-0.12154812
-0.6,0.8666666666666667,-0.12951753
-0.6,0.9,-0.13701463
-0.6,0.9333333333333333,-0.1445117
-0.6,0.9666666666666667,-0.15200877
-0.6,1.0,-0.1595059
-0.5333333333333333,0.0,0.9874834
-0.5333333333333333,0.03333333333333333,0.99392223
-0.5333333333333333,0.06666666666666667,0.99365497
-0.5333333333333333,0.1,0.9867424
-0.5333333333333333,0.13333333333333333,0.97563976
-0.5333333333333333,0.16666666666666666,0.96316516
-0.5333333333333333,0.2,0.9339639
-0.5333333333333333,0.23333333333333334,0.90332735
-0.5333333333333333,0.26666666666666666,0.8712839
-0.5333333333333333,0.3,0.8178404
-0.5333333333333333,0.3333333333333333,0.7511629
-0.5333333333333333,0.36666666666666664,0.67020375
-0.5333333333333333,0.4,0.56643677
-0.5333333333333333,0.43333333333333335,0.46036944
-0.5333333333333333,0.4666666666666667,0.35430214
-0.5333333333333333,0.5,0.24760571
-0.5333333333333333,0.5333333333333333,0.15520367
-0.5333333333333333,0.5666666666666667,0.10555167
-0.5333333333333333,0.6,0.064812474
-0.5333333333333333,0.6333333333333333,0.0285381
-0.5333333333333333,0.6666666666666666,0.0059964135
-0.5333333333333333,0.7,-0.014545821
-0.5333333333333333,0.7333333333333333,-0.032715105
-0.5333333333333333,0.7666666666666666,-0.051822178
-0.5333333333333333,0.8,-0.07092931
-0.5333333333333333,0.8333333333333334,-0.090036385
-0.5333333333333333,0.8666666666666667,-0.10914347
-0.5333333333333333,0.9,-0.12085899
-0.5333333333333333,0.9333333333333333,-0.1291312
-0.5333333333333333,0.9666666666666667,-0.13627759
-0.5333333333333333,1.0,-0.14169446
-0.4666666666666667,0.0,0.98995197
-0.4666666666666667,0.03333333333333333,0.99239373
-0.4666666666666667,0.06666666666666667,0.99102306
-0.4666666666666667,0.1,0.98730683
-0.4666666666666667,0.13333333333333333,0.9807607
-0.4666666666666667,0.16666666666666666,0.9725879
-0.4666666666666667,0.2,0.9617669
-0.4666666666666667,0.23333333333333334,0.9484662
-0.4666666666666667,0.26666666666666666,0.9186629
-0.4666666666666667,0.3,0.85755986
-0.4666666666666667,0.3333333333333333,0.78817487
-0.4666666666666667,0.36666666666666664,0.7187898
-0.4666666666666667,0.4,0.6473466
-0.4666666666666667,0.43333333333333335,0.5441741
-0.4666666666666667,0.4666666666666667,0.43730977
-0.4666666666666667,0.5,0.33044532
-0.4666666666666667,0.5333333333333333,0.22190797
-0.4666666666666667,0.5666666666666667,0.16138813
-0.4666666666666667,0.6,0.11531713
-0.4666666666666667,0.6333333333333333,0.079519905
-0.4666666666666667,0.6666666666666666,0.04530055
-0.4666666666666667,0.7,0.015558295
-0.4666666666666667,0.7333333333333333,-0.0045602694
-0.4666666666666667,0.7666666666666666,-0.023913093
-0.4666666666666667,0.8,-0.04307372
-0.4666666666666667,0.8333333333333334,-0.062234215
-0.4666666666666667,0.8666666666666667,-0.08139495
