x,t,u
-1.0,0.0,1.2246467991473532e-16
-0.98,0.0,0.06279051952931358
-0.96,0.0,0.12533323356430454
-0.94,0.0,0.18738131458572502
-0.92,0.0,0.24868988716485482
-0.9,0.0,0.3090169943749475
-0.88,0.0,0.36812455268467814
-0.86,0.0,0.4257792915650729
-0.84,0.0,0.4817536741017156
-0.8200000000000001,0.0,0.5358267949789967
-0.8,0.0,0.5877852522924732
-0.78,0.0,0.6374239897486899
-0.76,0.0,0.6845471059286888
-0.74,0.0,0.7289686274214114
-0.72,0.0,0.7705132427757893
-0.7,0.0,0.8090169943749475
-0.6799999999999999,0.0,0.8443279255020152
-0.6599999999999999,0.0,0.8763066800438637
-0.64,0.0,0.9048270524660195
-0.62,0.0,0.9297764858882515
-0.6,0.0,0.9510565162951536
-0.5800000000000001,0.0,0.9685831611286311
-0.56,0.0,0.9822872507286886
-0.54,0.0,0.9921147013144778
-0.52,0.0,0.9980267284282716
-0.5,0.0,1.0
-0.48,0.0,0.9980267284282716
-0.45999999999999996,0.0,0.9921147013144778
-0.43999999999999995,0.0,0.9822872507286886
-0.42000000000000004,0.0,0.9685831611286311
-0.4,0.0,0.9510565162951535
-0.38,0.0,0.9297764858882513
-0.36,0.0,0.9048270524660196
-0.33999999999999997,0.0,0.8763066800438636
-0.31999999999999995,0.0,0.844327925502015
-0.29999999999999993,0.0,0.8090169943749472
-0.28,0.0,0.7705132427757893
-0.26,0.0,0.7289686274214116
-0.24,0.0,0.6845471059286886
-0.21999999999999997,0.0,0.6374239897486896
-0.19999999999999996,0.0,0.587785252292473
-0.17999999999999994,0.0,0.5358267949789964
-0.16000000000000003,0.0,0.4817536741017153
-0.14,0.0,0.4257792915650727
-0.12,0.0,0.3681245526846779
-0.09999999999999998,0.0,0.30901699437494734
-0.07999999999999996,0.0,0.24868988716485463
-0.05999999999999994,0.0,0.18738131458572446
-0.040000000000000036,0.0,0.12533323356430437
-0.020000000000000018,0.0,0.06279051952931343
0.0,0.0,-0.0
0.020000000000000018,0.0,-0.06279051952931343
0.040000000000000036,0.0,-0.12533323356430437
0.06000000000000005,0.0,-0.18738131458572477
0.08000000000000007,0.0,-0.24868988716485502
0.10000000000000009,0.0,-0.3090169943749477
0.1200000000000001,0.0,-0.36812455268467825
0.14000000000000012,0.0,-0.425779291565073
0.15999999999999992,0.0,-0.481753674101715
0.17999999999999994,0.0,-0.5358267949789964
0.19999999999999996,0.0,-0.587785252292473
0.21999999999999997,0.0,-0.6374239897486896
0.24,0.0,-0.6845471059286886
0.26,0.0,-0.7289686274214116
0.28,0.0,-0.7705132427757893
0.30000000000000004,0.0,-0.8090169943749475
0.32000000000000006,0.0,-0.8443279255020151
0.3400000000000001,0.0,-0.8763066800438637
0.3600000000000001,0.0,-0.9048270524660196
0.3800000000000001,0.0,-0.9297764858882516
0.40000000000000013,0.0,-0.9510565162951536
0.41999999999999993,0.0,-0.9685831611286311
0.43999999999999995,0.0,-0.9822872507286886
0.45999999999999996,0.0,-0.9921147013144778
0.48,0.0,-0.9980267284282716
0.5,0.0,-1.0
0.52,0.0,-0.9980267284282716
0.54,0.0,-0.9921147013144778
0.56,0.0,-0.9822872507286886
0.5800000000000001,0.0,-0.9685831611286311
0.6000000000000001,0.0,-0.9510565162951535
0.6200000000000001,0.0,-0.9297764858882513
0.6400000000000001,0.0,-0.9048270524660195
